year	1700	1701	1702	1703	1704	1705	1706	1707	1708	1709	1710	1711	1712	1713	1714	1715	1716	1717	1718	1719	1720	1721	1722	1723	1724	1725	1726	1727	1728	1729	1730	1731	1732	1733	1734	1735	1736	1737	1738	1739	1740	1741	1742	1743	1744	1745	1746	1747	1748	1749	1750	1751	1752	1753	1754	1755	1756	1757	1758	1759	1760	1761	1762	1763	1764	1765	1766	1767	1768	1769	1770	1771	1772	1773	1774	1775	1776	1777	1778	1779	1780	1781	1782	1783	1784	1785	1786	1787	1788	1789	1790	1791	1792	1793	1794	1795	1796	1797	1798	1799	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
proxy_dc_date	20104	12759	1409	1872	2315	1771	2115	1450	2290	3307	3134	4203	3758	1546	1414	2173	1396	2137	2393	2370	4680	2703	3198	2114	2115	4248	2983	2208	2474	3163	4759	2008	2147	1949	2103	2130	2884	2157	2273	2463	5234	2146	2162	2249	2709	2653	2157	2233	2248	2787	10142	4100	2130	1972	1839	2742	2930	1816	2088	1725	6733	2320	1962	2205	2306	3255	1948	2273	2459	1976	6144	2238	2965	3907	3085	4354	3164	2841	2524	3044	11804	2890	2550	2914	2788	3630	4992	4414	3096	6033	12802	3889	4089	5132	4940	4311	3835	3550	2957	8896	40255	27734	6694	6678	5340	5386	5678	3953	4189	5527	14225	5055	6857	8139	5689	8073	5324	4266	5750	4875	19774	4149	4359	6649	4027	8108	5674	5384	5242	5410	17746	5761	5711	8082	5431	10385	6408	7412	7994	10677	28876	7775	7416	9912	7454	11159	9700	7624	9860	8952	31906	14097	9492	10232	9015	12762	9196	10192	8793	10352	34290	9120	9905	10796	10118	14359	8364	8379	11496	10079	33089	9277	8732	11744	9724	14684	9147	8539	10033	11260	41391	9382	9573	13789	10418	17300	15324	14474	13653	14451	42660	12719	14617	16772	17288	25033	16397	14938	20127	28150	122628	28538	40398	23508	18859	33908	23218	42284	27129	34223	74338	38272	41291	47501	65778	154267	97541	99737	145177	54941	88825	41453	39178	23522	28536	50773	31020	61574	38840	41314	95178	37379	52208	31889	36747	74520	69811	41241	54983	70540	68103	34628	45832	38953	48071	87803	80376	100905	163775	104232	161789	126067	141820	122729	132996	146015	156477	150597	146552	159542	198790	140834	134014	123320	139536	143057	129953	128586	188598	180257	157521	103441	101684	109923	99996	115815	105486	113444	116849	117321	149823	104068	100194	87767	84235	103026	91951	89562	93047	102258	99344	70565	70759	78728	64901	78964	77951	61900	89443	234051	75046	39954	57566	55668	66250	176269	258081	106105	158694	107866	91201	68948	52622	34299	29967	446
date	134190	7905	2095	2560	4200	1830	4505	2170	4835	1735	18010	5880	6635	1730	1415	2330	1500	1410	3405	2230	6310	2015	3950	2085	4410	7390	2955	2405	2040	3435	5740	2225	2305	3595	1955	15700	2400	2310	2095	2515	6415	2195	2870	2650	3385	3140	2515	2655	2100	4450	23800	2930	2630	3515	3085	3055	2565	2160	2575	3285	6720	2205	2310	2660	2785	2805	2125	3860	2745	2550	6785	4105	3650	2460	4765	9685	3330	2450	3045	2775	11370	2445	2885	3365	3155	3605	3745	3580	3315	2955	9395	2730	4080	5360	2480	5855	5635	3065	3570	18675	64080	31305	10145	11565	17560	7955	9480	6730	8115	8660	10810	6135	10750	11690	16065	9425	5660	5310	8820	5305	25385	5145	6260	10990	5915	14685	7740	6955	7050	7960	16085	8810	8665	16725	10850	10690	10575	11210	13095	17360	21655	10210	12250	15280	11940	14780	10585	10455	14735	12275	46755	13405	10615	18320	12190	14595	12590	12415	11880	11830	33330	12330	12605	21395	14535	15050	12445	13755	15675	10140	26410	13630	15160	17105	14590	27785	13130	10015	14655	11015	108785	7715	11265	14135	9950	12490	12790	7690	15045	9980	32030	9340	9020	14000	14990	18575	17790	15275	22660	42720	154530	57315	21280	28540	23290	49535	26720	28655	27675	31385	75755	34490	39315	39900	49575	44940	46645	50195	57135	35300	97470	22780	21490	25675	31455	61730	31120	28480	43400	62460	85580	29370	31705	32645	32880	52660	46165	37225	45695	65380	110205	59020	59390	62405	75400	135245	41350	56395	45960	52805	153385	59715	56530	67870	51900	60340	48595	49490	57220	60915	103035	59375	61125	49370	60005	82595	45970	47270	51080	65090	83150	50665	48970	47260	50170	80715	54815	42145	42400	45940	75505	45455	44880	50640	44930	51525	45490	47960	37680	60460	65790	26280	23080	23985	24780	20220	20360	19850	29280	38460	58440	20090	188835	243185	652525	369305	111400	45280	100610	198440	147555	675905	103495	107140	15785	85
